station_number,statition_nm,Lat,long,station_nm_ko
150,Seoul Station,37.554648,126.972559,서울역
151,City Hall,37.564718,126.977108,시청
152,Jonggak,37.570161,126.982923,종각
153,Jongno 3(sam)-ga,37.571607,126.991806,종로3가
154,Jongno 5(o)-ga,37.570926,127.001849,종로5가
155,Dongdaemun,37.57142,127.009745,동대문
156,Sinseol-dong,37.575297,127.025087,신설동
157,Jegi-dong,37.578103,127.034893,제기동
158,Cheongnyangni,37.580178,127.046835,청량리
159,Dongmyo,37.572627,127.016429,동묘앞
200,Kkachisan,37.572627,127.016429,까치산
201,City Hall,37.564718,126.977108,시청
202,Euljiro 1(il)-ga,37.566014,126.982618,을지로입구
203,Euljiro 3(sam)-ga,37.566295,126.99191,을지로3가
204,Euljiro 4(sa)-ga,37.566941,126.998079,을지로4가
205,Dongdaemun History  Culture Park,37.565138,127.007896,동대문역사문화공원
206,Sindang,37.565972,127.01782,신당
207,Sangwangsimni,37.564354,127.029354,상왕십리
208,Wangsimni,37.561533,127.037732,왕십리
209,Hanyang Univ.,37.555273,127.043655,한양대
210,Ttukseom,37.547184,127.047367,뚝섬
211,Seongsu,37.544581,127.055961,성수
212,Konkuk Univ.,37.540693,127.07023,건대입구
213,Guui,37.537077,127.085916,구의
214,Gangbyeon,37.535095,127.094681,강변
215,Jamsillaru,37.520733,127.10379,잠실나루
216,Jamsil,37.51395,127.102234,잠실
217,Jamsilsaenae,37.511687,127.086162,잠실새내
218,Sports Complex,37.510997,127.073642,종합운동장
219,Samseong,37.508844,127.06316,삼성
220,Seolleung,37.504503,127.049008,선릉
221,Yeoksam,37.500622,127.036456,역삼
222,Gangnam,37.497175,127.027926,강남
223,Seoul Nat`l Univ. of Education,37.493415,127.01408,교대
224,Seocho,37.491897,127.007917,서초
225,Bangbae,37.481426,126.997596,방배
226,Sadang,37.47653,126.981685,사당
227,Nakseongdae,37.47693,126.963693,낙성대
228,Seoul Nat`l Univ.,37.481247,126.952739,서울대입구
229,Bongcheon,37.482362,126.941892,봉천
230,Sillim,37.484201,126.929715,신림
231,Sindaebang,37.487462,126.913149,신대방
232,Guro Digital Complex,37.485266,126.901401,구로디지털단지
233,Daerim,37.49297,126.895801,대림
234,Sindorim,37.508725,126.891295,신도림
235,Mullae,37.517933,126.89476,문래
236,Yeongdeungpo-gu Office,37.52497,126.895951,영등포구청
237,Dangsan,37.53438,126.902281,당산
238,Hapjeong,37.549463,126.913739,합정
239,Hongik Univ.,37.557192,126.925381,홍대입구
240,Sinchon,37.555134,126.936893,신촌
241,Ewha Womans Univ.,37.556733,126.946013,이대
242,Ahyeon,37.557345,126.956141,아현
243,Chungjeongno,37.559973,126.963672,충정로
244,Yongdap,37.561904,127.050899,용답
245,Sindap,37.57004,127.046481,신답
246,Sinseol-dong,37.575297,127.025087,신설동
247,Dorimcheon,37.514287,126.882768,도림천
248,Yangcheon-gu Office,37.512398,126.865819,양천구청
249,Sinjeongnegeori,37.520074,126.852912,신정네거리
250,Yongdu,37.574028,127.038091,용두
300,Daegok,37.531768,126.846683,대곡
309,Jichuk,37.648048,126.913951,지축
310,Gupabal,37.636763,126.918821,구파발
311,Yeonsinnae,37.619001,126.921008,연신내
312,Bulgwang,37.610469,126.929887,불광
313,Nokbeon,37.600927,126.935756,녹번
314,Hongje,37.589066,126.943736,홍제
315,Muakjae,37.582299,126.950291,무악재
316,Dongnimmun,37.574571,126.957748,독립문
317,Gyeongbokgung,37.575762,126.97353,경복궁
318,Anguk,37.576477,126.985443,안국
319,Jongno 3(sam)-ga,37.571607,126.991806,종로3가
320,Euljiro 3(sam)-ga,37.566295,126.99191,을지로3가
321,Chungmuro,37.561243,126.99428,충무로
322,Dongguk Univ.,37.559052,127.005602,동대입구
323,Yaksu,37.55434,127.010655,약수
324,Geumho,37.548034,127.015872,금호
325,Oksu,37.540685,127.017965,옥수
326,Apgujeong,37.527072,127.028461,압구정
327,Sinsa,37.516334,127.020114,신사
328,Jamwon,37.512759,127.01122,잠원
329,Express Bus Terminal,37.50481,127.004943,고속터미널
330,Seoul Nat`l Univ. of Education,37.493415,127.01408,교대
331,Nambu Bus Terminal,37.485013,127.016189,남부터미널
332,Yangjae,37.484147,127.034631,양재
333,Maebong,37.486947,127.046769,매봉
334,Dogok,37.490858,127.055381,도곡
335,Daechi,37.494612,127.063642,대치
336,Hangnyeoul,37.496663,127.070594,학여울
337,Daecheong,37.493514,127.079532,대청
338,Irwon,37.483681,127.08439,일원
339,Suseo,37.487371,127.10188,수서
340,Garak Market,37.492522,127.118234,가락시장
341,National Police Hospital,37.495918,127.12454,경찰병원
342,Ogeum,37.502162,127.128111,오금
409,Danggogae,37.670272,127.079066,당고개
410,Sanggye,37.660878,127.073572,상계
411,Nowon,37.655128,127.061368,노원
412,Chang-dong,37.653166,127.047731,창동
413,Ssangmun,37.648627,127.034709,쌍문
414,Suyu,37.638052,127.025732,수유
415,Mia,37.62667,127.025983,미아
416,Miasamgeori,37.613292,127.030053,미아사거리
417,Gireum,37.603407,127.025053,길음
418,Sungshin Women`s Univ.,37.592624,127.016403,성신여대입구
419,Hansung Univ.,37.588458,127.006221,한성대입구
420,Hyehwa,37.582336,127.001844,혜화
421,Dongdaemun,37.57142,127.009745,동대문
422,Dongdaemun History  Culture Park,37.565138,127.007896,동대문역사문화공원
423,Chungmuro,37.561243,126.99428,충무로
424,Myeong-dong,37.560989,126.986325,명동
425,Hoehyeon,37.558514,126.978246,회현
426,Seoul Station,37.554648,126.972559,서울역
427,Sookmyung Women`s Univ.,37.54456,126.972106,숙대입구
428,Samgakji,37.534777,126.97311,삼각지
429,Sinyongsan,37.52917,126.967894,신용산
430,Ichon,37.522272,126.974345,이촌
431,Dongjak,37.502971,126.979306,동작
432,Chongshin Univ.,37.486263,126.981989,총신대입구
433,Sadang,37.47653,126.981685,사당
434,Namtaeryeong,37.463873,126.989134,남태령
1002,Namyeong,37.541021,126.9713,남영
1003,Yongsan,37.529849,126.964561,용산
1004,Noryangjin,37.514219,126.942454,노량진
1005,Daebang,37.513342,126.926382,대방
1006,Yeongdeungpo,37.515504,126.907628,영등포
1007,Sindorim,37.508725,126.891295,신도림
1008,Ichon,37.522272,126.974345,이촌
1009,Seobinggo,37.519594,126.988537,서빙고
1010,Hannam,37.52943,127.009169,한남
1011,Oksu,37.540685,127.017965,옥수
1012,Eungbong,37.549946,127.034538,응봉
1013,Wangsimni,37.561533,127.037732,왕십리
1014,Cheongnyangni,37.580178,127.046835,청량리
1015,Hoegi,37.58946,127.057583,회기
1016,Hankuk Univ. of Foreign Studies,37.596073,127.063549,외대앞
1017,Sinimun,37.601854,127.067325,신이문
1018,Seokgye,37.614805,127.065851,석계
1019,Kwangwoon Univ.,37.623632,127.061835,광운대
1020,Wolgye,37.633212,127.058831,월계
1021,Nokcheon,37.644799,127.051269,녹천
1022,Chang-dong,37.653166,127.047731,창동
1023,Seolleung,37.504503,127.049008,선릉
1024,Hanti,37.496237,127.052873,한티
1025,Dogok,37.490858,127.055381,도곡
1026,Guryong,37.486839,127.058856,구룡
1027,Gaepo-dong,37.489116,127.06614,개포동
1028,Daemosan,37.491373,127.07272,대모산입구
1030,Suseo,37.487371,127.10188,수서
1031,Bokjeong,37.470047,127.126662,복정
1032,Singil,37.517122,126.917169,신길
1201,Jungnang,37.594917,127.076116,중랑
1202,Sangbong,37.596362,127.085032,상봉
1203,Mangu,37.59955,127.091909,망우
1204,Yangwon,37.606596,127.107906,양원
1205,Guri,37.603392,127.143869,구리
1206,Donong,37.608806,127.161153,도농
1207,Yangjeong,37.60533,127.19364,양정
1208,Deokso,37.586781,127.208832,덕소
1209,Dosim,37.579622,127.222672,도심
1210,Paldang,37.547371,127.243939,팔당
1211,Ungilsan,37.554669,127.310115,운길산
1212,Yangsu,37.545981,127.329098,양수
1213,Sinwon,37.525545,127.372921,신원
1214,Guksu,37.516169,127.399367,국수
1215,Asin,37.51382,127.443173,아신
1216,Obin,37.506062,127.473868,오빈
1217,Yangpyeong,37.492832,127.491814,양평
1218,Wondeok,37.468672,127.547076,원덕
1219,Yongmun,37.48223,127.594647,용문
1251,Seoul Station,37.556328,126.969522,지평
1252,Sinchon,37.559783,126.942319,신촌
1261,Hyochang Park,37.539261,126.961351,효창공원앞
1262,Gongdeok,37.544018,126.951592,공덕
1263,Sogang Univ.,37.551881,126.935711,서강대
1264,Hongik Univ.,37.557192,126.925381,홍대입구
1265,Gajwa,37.568491,126.915487,가좌
1266,Digital Media City,37.576646,126.900984,디지털미디어시티
1267,Susaek,37.580842,126.895611,수색
1268,Hwajeon,37.602888,126.868387,화전
1269,Gangmae,37.612314,126.843223,강매
1270,Haengsin,37.612102,126.834146,행신
1271,Neunggok,37.618808,126.820783,능곡
1272,Goksan,37.645676,126.801762,곡산
1273,Baengma,37.658239,126.794461,백마
1274,Pungsan,37.672346,126.786243,풍산
1275,Ilsan,37.682077,126.769846,일산
1276,Tanhyeon,37.694023,126.761086,탄현
1277,Yadang,37.712327,126.761356,야당
1278,Unjeong,37.725826,126.767257,운정
1279,Geumneung,37.751322,126.765347,금릉
1280,Geumchon,37.766217,126.774644,금촌
1282,Wollong,37.796188,126.792587,월롱
1283,Paju,37.815298,126.792783,파주
1284,Munsan,37.854619,126.788047,문산
1305,Kwangwoon Univ.,37.580178,127.046835,광운대
1306,Cheongnyangni,37.58946,127.057583,청량리
1307,Hoegi,37.594917,127.076116,회기
1308,Jungnang,37.623632,127.061835,중랑
1309,Sangbong,37.596362,127.085032,상봉
1310,Mangu,37.59955,127.091909,망우
1311,Sinnae,37.612887,127.103218,신내
1312,Galmae,37.634118,127.114757,갈매
1313,Byeollae,37.64202,127.12684,별내
1314,Toegyewon,37.648311,127.143952,퇴계원
1315,Sareung,37.65108,127.176933,사릉
1316,Geumgok,37.637382,127.207853,금곡
1317,PyeongnaeHopyeong,37.653225,127.244493,평내호평
1318,Cheonmasan,37.658978,127.285379,천마산
1319,Maseok,37.652782,127.311767,마석
1320,Daeseong-ri,37.684071,127.379319,대성리
1321,Cheongpyeong,37.735488,127.42661,청평
1322,Sangcheon,37.770246,127.454821,상천
1323,Gapyeong,37.814536,127.510739,가평
1324,Gulbongsan,37.832067,127.557695,굴봉산
1325,Baegyang-ri,37.830779,127.58933,백양리
1326,Gangchon,37.805723,127.634146,강촌
1327,Gimyujeong,37.818466,127.71434,김유정
1328,Namchuncheon,37.864007,127.723792,남춘천
1329,Chuncheon,37.885054,127.717023,춘천
1401,Bongmyeong,36.801215,127.135763,봉명
1402,Ssangyong,36.793759,127.1214,쌍용
1403,Asan,36.792053,127.104361,아산
1405,Baebang,36.777629,127.052991,배방
1407,Onyang oncheon,36.780483,127.003249,온양온천
1408,Sinchang,36.769502,126.951108,신창
1450,Seonbawi,37.451673,127.002303,선바위
1451,Seoul Racecourse Park,37.443885,127.007888,경마공원
1452,Seoul Grand Park,37.435675,127.006523,대공원
1453,Gwacheon,37.433021,126.996568,과천
1454,Government Complex Gwacheon,37.426513,126.98978,정부과천청사
1455,Indeogwon,37.401553,126.976715,인덕원
1456,Pyeongchon,37.394287,126.963883,평촌
1457,Beomgye,37.389793,126.950806,범계
1458,Geumjeong,37.372221,126.943429,금정
1501,Pangyo,37.394761,127.111217,판교
1502,Imae,37.396104,127.12827,이매
1503,Samdong,37.409522,127.20336,삼동
1504,GyeonggiGwangju,37.399907,127.25263,경기광주
1505,Chowol,37.374419,127.299,초월
1506,Gonjiam,37.351315,127.34674,곤지암
1507,Sindundoyechon,37.317185,127.40476,신둔도예촌
1508,Icheon,37.265579,127.44226,이천
1509,Bubal,37.260192,127.490277,부발
1510,Sejongdaewangneung,37.295309,127.570938,세종대왕릉
1701,Guro,37.503039,126.881966,구로
1702,Gasan Digital Complex,37.481072,126.882343,가산디지털단지
1703,Geumcheon-Gu Office,37.455626,126.89398,금천구청
1704,Seoksu,37.435047,126.902295,석수
1705,Gwanak,37.419232,126.908706,관악
1706,Anyang,37.401592,126.922874,안양
1707,Myeonghak,37.384653,126.935433,명학
1708,Geumjeong,37.372221,126.943429,금정
1709,Gunpo,37.35356,126.948462,군포
1710,Uiwang,37.320852,126.948217,의왕
1711,Sungkyunkwan Univ.,37.300349,126.97075,성균관대
1712,Hwaseo,37.283862,126.989627,화서
1713,Suwon,37.265974,126.999874,수원
1714,Doksan,37.466613,126.889249,독산
1715,Seryu,37.245025,127.013222,세류
1716,Byeongjeom,37.207503,127.032731,병점
1717,Sema,37.187533,127.04318,세마
1718,Osan College,37.168953,127.063197,오산대
1719,Osan,37.145885,127.06672,오산
1720,Jinwi,37.109447,127.062278,진위
1721,Songtan,37.075696,127.054301,송탄
1722,Seojeong-ri,37.056496,127.052819,서정리
1723,Jije,37.0188,127.070444,지제
1724,Pyeongtaek,36.990726,127.085159,평택
1725,Seonghwan,36.916076,127.126964,성환
1726,Jiksan,36.870593,127.143904,직산
1727,Dujeong,36.833705,127.14896,두정
1728,Cheonan,36.810005,127.146826,천안
1729,Dangjeong,37.344285,126.948345,당정
1749,Seodongtan,37.195504,127.051672,서동탄
1750,Gwangmyeong,37.416182,126.884466,광명
1751,Sanbon,37.358101,126.933274,산본
1752,Daeyami,37.328467,126.917332,대야미
1753,Banwol,37.312212,126.903524,반월
1754,Sangnoksu,37.302795,126.866489,상록수
1755,Hanyang Univ. at Ansan,37.309689,126.85344,한대앞
1756,Jungang,37.315941,126.838573,중앙
1757,Gojan,37.316777,126.823249,고잔
1758,Choji,37.320646,126.805913,초지
1759,Ansan,37.327082,126.788532,안산
1760,Singil oncheon,37.338212,126.765844,신길온천
1761,Jeongwang,37.351735,126.742989,정왕
1762,Oido,37.362357,126.738714,오이도
1763,Surisan,37.349801,126.925365,수리산
1800,Oido,37.349801,126.925365,오이도
1801,Gaebong,37.494594,126.85868,개봉
1802,Oryu-dong,37.494526,126.845365,오류동
1803,Yeokgok,37.485178,126.811502,역곡
1804,Bucheon,37.48405,126.782686,부천
1805,Songnae,37.4876,126.753664,송내
1806,Bupyeong,37.489493,126.724805,부평
1807,Baegun,37.483664,126.707704,백운
1808,Dongam,37.471408,126.702896,동암
1809,Juan,37.464941,126.679923,주안
1810,Jemulpo,37.466769,126.656666,제물포
1811,Dongincheon,37.475276,126.632802,동인천
1812,Incheon,37.476691,126.616936,인천
1813,Guil,37.496756,126.870793,구일
1814,Sosa,37.482753,126.79544,소사
1815,Bugae,37.488418,126.74109,부개
1816,Ganseok,37.464737,126.694181,간석
1817,Dowon,37.468446,126.642706,도원
1821,Onsu,37.492258,126.823388,온수
1822,Jung-dong,37.486562,126.764843,중동
1823,Dohwa,37.46607,126.668672,도화
1845,Cheongnyangni,37.561533,127.037732,청량리
1846,Suwon,37.265974,126.999874,수원
1847,Seoul-forest,37.543617,127.044707,서울숲
1848,Apgujeongrodeo,37.527381,127.040534,압구정로데오
1849,Gangnam-gu Office,37.517186,127.04128,강남구청
1850,Seonjeongneung,37.51098,127.043593,선정릉
1851,Gachon Univ.,37.448605,127.126697,가천대
1852,Taepyeong,37.440019,127.127709,태평
1853,Moran,37.43213,127.129087,모란
1854,Yatap,37.411185,127.128715,야탑
1855,Seohyeon,37.385126,127.123592,서현
1856,Sunae,37.378455,127.114322,수내
1857,Jeongja,37.36706,127.108105,정자
1858,Migeum,37.350077,127.10891,미금
1859,Ori,37.339824,127.108942,오리
1860,Imae,37.396104,127.12827,이매
1861,Bojeong,37.312752,127.108196,보정
1862,Jukjeon,37.324753,127.107395,죽전
1863,Guseong,37.298969,127.105664,구성
1864,Singal,37.286102,127.111313,신갈
1865,Giheung,37.275619,127.115936,기흥
1866,Sanggal,37.26181,127.108847,상갈
1867,Cheongmyeong,37.259489,127.078934,청명
1868,Yeongtong,37.251568,127.071394,영통
1869,Mangpo,37.245795,127.057353,망포
1870,MaetanGwonseon,37.252759,127.040566,매탄권선
1871,Suwon City Hall,37.261911,127.030736,수원시청
1872,Maegyo,37.265481,127.015678,매교
1878,Dalwol,37.379681,126.745177,달월
1879,Wolgot,37.391769,126.742699,월곶
1880,Soraepogu,37.40095,126.733522,소래포구
1881,Incheon Nonhyeon,37.400614,126.722478,인천논현
1882,Hogupo,37.401637,126.708627,호구포
1883,Namdong Induspark,37.407722,126.695216,남동인더스파크
1884,Woninjae,37.412603,126.687389,원인재
1885,Yeonsu,37.417804,126.67894,연수
1886,Songdo,37.428514,126.657772,송도
1888,Inha Univ.,37.448493,126.649619,인하대
1889,Sungui,37.460789,126.638297,숭의
1890,Sinpo,37.46874,126.623853,신포
1891,Incheon,37.476691,126.616936,인천
1901,Banghak,37.667503,127.044273,방학
1902,Dobong,37.679563,127.045595,도봉
1903,Dobongsan,37.689313,127.046222,도봉산
1904,Mangwolsa,37.709914,127.047455,망월사
1905,Hoeryong,37.724846,127.046895,회룡
1906,Uijeongbu,37.738415,127.045958,의정부
1907,Ganeung,37.748577,127.044213,가능
